File name,PV_list_lemmtaized
AL22,"operate at, operate near, spend to, crowd out, depend on, spend during, eat out, cause by, know as, save during, come by, click for, check out'"
AL36,"add up, find out, happen in, return to, involve in, end up, involve in, say in, vote for, agree with, come in, vote for, agitate for, get on, set up, send to, trace to, go from, look at'"
AL184,"pass for, hear of, move on, come to, sit in, remember from, dominate by, begin with, hear of, rule by, get in, rise from, go to, consist of, know as, know to, come to, engage in, trade with, jump on, disintereste in, build under, base on, come to, search for, get in, live in, land at, look for, answer with, sum up, create like, sit in, rely on, add to, base on, end up, know as, know as, figure out, base on, figure out, accord to, split between, unclaimed by, land on, pay for, fail at, return with, discuss in, encounter in, return from, speak for, depend on'"
AL190,"talk about, bear in, remember from, know for, end in, see from, establish in, go from, map out, talk about, shut up, obsess with, settle in, mention about, contribute to, think about, think about, feel about, look like, disagree over, speak to, turn to, go to, land in, greet by, return to, kill by, keep by, come from, reserve for, return to, make as, confuse with, take for, live in, associate with, see as, kill during, figure out, evidence by, pay for, do with, fire at, look like, end up, fit in, set up, show up, fly off, keep in'"
AL147,"look at, look at, think of, go in, get to, think about, start at, count by, get to, count from, get to, start at'"
AL153,"think of, work with, publish under, come along, do like, advocate for, come along, give away, leave of, education beyond, go around, go on, publish in, look at, build up, lie down, read through, license to, involve in, come from, come into, move through, go with, end up, think in, move from, strike by, use for, find out, think of, think of, start with, go to, listen to, come across, involve in, interact with, play in, learn for, come by, come by, go through, come by, talk about, go on, connect to, sit with, sit with, feed off, refer to, end up, end up, look at, keep for, look at, take for, function with, involve with, send to, involve in, look at, throw off, end up, turn to, shape by, preface on, engage with'"
AL231,"have as, come with, change in, find out, open up, open up, go to, go to, go to, find out, relate to, log out, keep in, do in, go through'"
AL225,"turn into, look at, surround by, start with, go down, see in, log out, find out, look like, look like, see for, log out, get at, use for, pass in, go through'"
AL219,"measure in, grow by, grow by, go on, grow in, grow in, say on, divide by, think about, talk about, base on, grow by, grow by, grow by, get to, go by, grow by, multiply by, figure out, clear out, round to'"
AL218,"find in, think about, divide by, find in, work out, divide by, cancel out, leave with, figure out'"
AL224,"measure in, happen after, look like, raise to'"
AL230,"agree with, start with, start off, attach to, look for, look for, controlshifti on, log out'"
AL152,"""work on, focus on, deal with, care about, come down, think about, happen in, seem like, leave like, knock down, feel like, involve in, go to, cost to, pronounce in, think about, do with, learn by, learn by, learn in, learn by, come in, learn by, learn in, interact with, associate with, look like, get to, work with, come along, end up, set up, hinge around, involve with, involve as, work as, work with, sit down, affiliate with, come out, focus on, talk about, have in, get into, have between, look at, come down, look across, participate in, think at, pull on, happen on, develop with, lead into, go on, apply to, apply to, happen in, arrive at, start within, know about, go in, apply in, come out, start with, set up, go on, know that'sopen, go on, focus on"""
AL146,"have than, look at, have than, have than, look at, start at, start at, get to, go from, have than'"
AL191,"implant into, focus on, concern with, get through, start with, recall from, live in, go into, turn out, shut up, live under, live by, back down, lead to, dump about, go to, lead to, focus on, go to, set up, start in, edit out, do by, evidence by, function as, reach out, fight with, fight until, depend on, give up, throw off, look at, contain in, inform by, focus on, look at, fight against, think about, come out, link to, come up, live up, become on'"
AL185,"talk about, know about, usher in, coincide with, idealize as, look at, look at, open up, concern with, add to, know as, stick with, associate with, focus on, come to, go to, prime for, specialize in, turn out, remember from, remember from, figure out, trade with, trade with, pay for, put on, pose for, pay for, lead to, talk about, weave in, dye with, find in, write to, wre from, accrue to, flee for, thank for, search for, come on, find in, happen in, start with, live amid, turn off, climb on, live in, base on, go down, filter down, experience by, live on, govern by, matter to, care about, introduce to, talk about, talk about, bear in, occur over'"
