File,PV_list_lemmtaized,Difficulty,Duration,k1_percent,k2_percent,k3_percent,k1_2_percent,k1_3_percent,k1_4_percent,k1_5_percent,k1_6_percent,Accent,Genre,URL
AL001,"turn down, lie out, start with, choose by, make in, turn out, set out, land on, compare to, recommend by, turn out, invest in, manage by, invest in, outperform by, invest in, look at, remain in, start with, go up, go with, show up, fund by, own from, look like, check out",21,5.54,70,15,8,85,93,94,94,95,American,AL,https://www.youtube.com/watch?v=CZ6XjrKj-U0
AL002,"profit from, incorporate in, go out, base on, base on, think about, use by, develop by, bump into, buffet about, incorporate in, explode in, set up, turn out, make by, return to, fall by, fall by, figure out, reflect in, take up, check out",20,5.48,66,14,11,79,91,92,92,92,American,AL,https://www.youtube.com/watch?v=Ny__y6giwEU
AL003,"turn to, retire with, invest in, invest in, look for, seem like, add up, have about, retire with, give up, come to, sign up, fall on, fill with, dive into, profit from, check out",18,4.17,71,12,10,83,93,93,93,93,American,AL,https://www.youtube.com/watch?v=cFCO08iq5VQ
AL004,"see in, constrain by, go on, expect from, see over, learn about, outperform in, respond to, focus on, believe in, invest in, check out",18,3.7,70,12,11,81,92,94,94,94,American,AL,https://www.youtube.com/watch?v=KyBtQbjgEQA
AL005,"know about, talk about, go up, see in, go up, know from, write off, push up, build into, think of, live in, have in, go up, go up, move to, go to, have in, go to, militate in, keep in, gain from, keep in, hit by, go up, apply to, think about, think about, think of, think about, pay off, get into, feel like, save up, give to, come to, check out, find out",19,5.63,76,11,6,87,93,95,95,95,American,AL,https://www.youtube.com/watch?v=-AZUO7_NU7c
AL006,"learn about, dive into, save in, grow at, take for, double in, divide by, invest for, start with, end up, save in, double to, lead to, mean by, keep in, save at, contribute to, think about, invest at, turn into, invest at, turn into, check out",15,4.51,73,11,6,84,91,92,92,93,American,AL,https://www.youtube.com/watch?v=vAZaRuP1d-0
AL007,"think about, think about, think about, start with, think about, base in, work in, work with, work with, work with, keep up, think about, interact with, work with, compete with, go into, do with, see at, think about, work with, work at, sell to, compete with, do with, want at, start off, come from, start off, happen in, start in, lay off, know from, lead to, rule by, think about, move toward, train in, check out",18,7.15,69,16,9,84,94,95,95,95,American,AL,https://www.youtube.com/watch?v=HKPaNR4e4QY
AL008,"know as, produce within, think about, fill with, ring up, ring up, ring up, sell to, ring up, add to, produce within, add to, add to, produce within, import from, add to, produce in, export to, add to, produce within, sell in, count in, produce in, add up, come up, count in, include in, use as, move on, go to",16,3.96,72,16,6,87,93,95,95,95,American,AL,https://www.youtube.com/watch?v=EoWyySmGles
AL009,"correlate with, care about, start with, set from, measure by, live on, live in, distribute than, get to, think of, move on, go to",18,3.87,73,15,6,87,93,95,95,95,American,AL,https://www.youtube.com/watch?v=o3l6UFbnvy8
AL010,"come to, talk about, look at, live by, see from, start after, end up, impose on, end up, come down, reallocate to, base on, listen to, respond to, allocate by, go into, brand as, live in, sink in, cluster in, move on, go to",16,4.63,63,16,12,80,92,95,95,95,American,AL,https://www.youtube.com/watch?v=fttM1cGrIVQ
AL011,"return to, lay out, keep in, start with, go from, work with, bear with, produce by, take for, organize in, consolidate into, divorce from, starve to, take off, work for, check out, stand up, think about, collect on, invest in, worry about, answer with, take for, write at, go to, stop at, look at, interact in, put into, move on, go to",15,7.03,65,17,10,82,92,94,94,95,American,AL,https://www.youtube.com/watch?v=pY-r2ReA7Vw
AL012,"go on, grow at, grow around, draw on, name for, catch up, catch up, grow on, represent by, represent by, add up, think of, start in, contribute to, dig in, move on, go to",17,4.55,69,16,8,85,93,95,95,95,American,AL,https://www.youtube.com/watch?v=Z6N9TxFmh_w
